group,timepoint,subject_id,channel,region,feature,power_value
Control,Baseline,Sub_01,O1,occipital,delta,0.6471867
Control,Baseline,Sub_01,O1,occipital,theta,0.4918285
Control,Baseline,Sub_01,O1,occipital,alpha,0.8671759
Control,Baseline,Sub_01,O1,occipital,beta,0.5602522
Control,Baseline,Sub_01,O1,occipital,gamma,0.51588786
Control,Baseline,Sub_01,O1,occipital,broadband,0.61810637
Control,Baseline,Sub_01,Oz,occipital,delta,0.583453
Control,Baseline,Sub_01,Oz,occipital,theta,0.7357296
Control,Baseline,Sub_01,Oz,occipital,alpha,0.71115434
Control,Baseline,Sub_01,Oz,occipital,beta,0.20772178
Control,Baseline,Sub_01,Oz,occipital,gamma,0.56512743
Control,Baseline,Sub_01,Oz,occipital,broadband,0.40394285
Control,Baseline,Sub_01,O2,occipital,delta,0.543293
Control,Baseline,Sub_01,O2,occipital,theta,0.7945939
Control,Baseline,Sub_01,O2,occipital,alpha,0.49651784
Control,Baseline,Sub_01,O2,occipital,beta,0.62694293
Control,Baseline,Sub_01,O2,occipital,gamma,0.6880108
Control,Baseline,Sub_01,O2,occipital,broadband,0.62277156
Control,Baseline,Sub_01,AF3,extra,delta,0.6788386
Control,Baseline,Sub_01,AF3,extra,theta,0.48840967
Control,Baseline,Sub_01,AF3,extra,alpha,0.38032264
Control,Baseline,Sub_01,AF3,extra,beta,0.65859616
Control,Baseline,Sub_01,AF3,extra,gamma,0.67234254
Control,Baseline,Sub_01,AF3,extra,broadband,0.7416259
Control,Baseline,Sub_01,AF4,extra,delta,0.5423552
Control,Baseline,Sub_01,AF4,extra,theta,0.74296224
Control,Baseline,Sub_01,AF4,extra,alpha,0.50182635
Control,Baseline,Sub_01,AF4,extra,beta,0.37774667
Control,Baseline,Sub_01,AF4,extra,gamma,0.20609888
Control,Baseline,Sub_01,AF4,extra,broadband,0.33264405
Control,Baseline,Sub_01,FC5,extra,delta,0.65861326
Control,Baseline,Sub_01,FC5,extra,theta,0.346431
Control,Baseline,Sub_01,FC5,extra,alpha,
Control,Baseline,Sub_01,FC5,extra,beta,0.88437676
Control,Baseline,Sub_01,FC5,extra,gamma,0.6453541
Control,Baseline,Sub_01,FC5,extra,broadband,0.7876122
Control,Baseline,Sub_01,FC1,extra,delta,0.37466127
Control,Baseline,Sub_01,FC1,extra,theta,0.18310675
Control,Baseline,Sub_01,FC1,extra,alpha,0.73527247
Control,Baseline,Sub_01,FC1,extra,beta,0.29830948
Control,Baseline,Sub_01,FC1,extra,gamma,0.53343886
Control,Baseline,Sub_01,FC1,extra,broadband,0.54536194
Control,Baseline,Sub_01,FC2,extra,delta,0.40986368
Control,Baseline,Sub_01,FC2,extra,theta,0.76370096
Control,Baseline,Sub_01,FC2,extra,alpha,0.76077384
Control,Baseline,Sub_01,FC2,extra,beta,0.6145049
Control,Baseline,Sub_01,FC2,extra,gamma,0.51092285
Control,Baseline,Sub_01,FC2,extra,broadband,0.5540934
Control,Baseline,Sub_01,FC6,extra,delta,0.38559198
Control,Baseline,Sub_01,FC6,extra,theta,2.246499
Control,Baseline,Sub_01,FC6,extra,alpha,0.5306417
Control,Baseline,Sub_01,FC6,extra,beta,0.39096364
Control,Baseline,Sub_01,FC6,extra,gamma,0.6691077
Control,Baseline,Sub_01,FC6,extra,broadband,0.32613418
Control,Baseline,Sub_01,CP5,extra,delta,0.4754399
Control,Baseline,Sub_01,CP5,extra,theta,0.18088642
Control,Baseline,Sub_01,CP5,extra,alpha,0.602663
Control,Baseline,Sub_01,CP5,extra,beta,0.65427715
Control,Baseline,Sub_01,CP5,extra,gamma,0.6008606
Control,Baseline,Sub_01,CP5,extra,broadband,0.98688
Control,Baseline,Sub_01,CP1,extra,delta,0.71208537
Control,Baseline,Sub_01,CP1,extra,theta,0.43330592
Control,Baseline,Sub_01,CP1,extra,alpha,0.9235408
Control,Baseline,Sub_01,CP1,extra,beta,0.41508085
Control,Baseline,Sub_01,CP1,extra,gamma,0.6610779
Control,Baseline,Sub_01,CP1,extra,broadband,0.6668277
Control,Baseline,Sub_01,CP2,extra,delta,0.38236532
Control,Baseline,Sub_01,CP2,extra,theta,0.7370662
Control,Baseline,Sub_01,CP2,extra,alpha,0.5978942
Control,Baseline,Sub_01,CP2,extra,beta,0.62528527
Control,Baseline,Sub_01,CP2,extra,gamma,0.4224213
Control,Baseline,Sub_01,CP2,extra,broadband,0.79522204
Control,Baseline,Sub_01,CP6,extra,delta,0.4066519
Control,Baseline,Sub_01,CP6,extra,theta,0.27686158
Control,Baseline,Sub_01,CP6,extra,alpha,0.7540777
Control,Baseline,Sub_01,CP6,extra,beta,0.5007709
Control,Baseline,Sub_01,CP6,extra,gamma,0.5398202
Control,Baseline,Sub_01,CP6,extra,broadband,0.83506376
Control,Baseline,Sub_01,PO3,extra,delta,0.6959676
Control,Baseline,Sub_01,PO3,extra,theta,0.6430738
Control,Baseline,Sub_01,PO3,extra,alpha,0.7258968
Control,Baseline,Sub_01,PO3,extra,beta,0.44416857
Control,Baseline,Sub_01,PO3,extra,gamma,0.64735866
Control,Baseline,Sub_01,PO3,extra,broadband,0.73039865
Control,Baseline,Sub_01,PO4,extra,delta,0.6307431
Control,Baseline,Sub_01,PO4,extra,theta,0.5130647
Control,Baseline,Sub_01,PO4,extra,alpha,0.05467979
Control,Baseline,Sub_01,PO4,extra,beta,0.61387396
Control,Baseline,Sub_01,PO4,extra,gamma,0.6066358
Control,Baseline,Sub_01,PO4,extra,broadband,0.47131592
Control,Baseline,Sub_02,Fp1,prefrontal,delta,0.6287996
Control,Baseline,Sub_02,Fp1,prefrontal,theta,0.5206452
Control,Baseline,Sub_02,Fp1,prefrontal,alpha,0.53621376
Control,Baseline,Sub_02,Fp1,prefrontal,beta,0.30460092
Control,Baseline,Sub_02,Fp1,prefrontal,gamma,0.2621837
Control,Baseline,Sub_02,Fp1,prefrontal,broadband,0.5695641
Control,Baseline,Sub_02,Fp2,prefrontal,delta,0.49778056
Control,Baseline,Sub_02,Fp2,prefrontal,theta,0.50630873
Control,Baseline,Sub_02,Fp2,prefrontal,alpha,0.53955483
Control,Baseline,Sub_02,Fp2,prefrontal,beta,0.57034284
Control,Baseline,Sub_02,Fp2,prefrontal,gamma,0.4977161
Control,Baseline,Sub_02,Fp2,prefrontal,broadband,0.5212543
Control,Baseline,Sub_02,F7,frontal,delta,0.60072416
Control,Baseline,Sub_02,F7,frontal,theta,0.6172281
Control,Baseline,Sub_02,F7,frontal,alpha,0.40858135
Control,Baseline,Sub_02,F7,frontal,beta,0.65115714
Control,Baseline,Sub_02,F7,frontal,gamma,0.6155058
Control,Baseline,Sub_02,F7,frontal,broadband,0.521681
Control,Baseline,Sub_02,F3,frontal,delta,0.5624332
Control,Baseline,Sub_02,F3,frontal,theta,
Control,Baseline,Sub_02,F3,frontal,alpha,0.6133615
Control,Baseline,Sub_02,F3,frontal,beta,0.3238551
Control,Baseline,Sub_02,F3,frontal,gamma,0.50946784
Control,Baseline,Sub_02,F3,frontal,broadband,0.50528324
Control,Baseline,Sub_02,Fz,frontal,delta,0.4528497
Control,Baseline,Sub_02,Fz,frontal,theta,0.38635558
Control,Baseline,Sub_02,Fz,frontal,alpha,0.23832099
Control,Baseline,Sub_02,Fz,frontal,beta,0.34686166
Control,Baseline,Sub_02,Fz,frontal,gamma,0.25661016
Control,Baseline,Sub_02,Fz,frontal,broadband,0.40109208
Control,Baseline,Sub_02,F4,frontal,delta,0.46685153
Control,Baseline,Sub_02,F4,frontal,theta,0.43799767
Control,Baseline,Sub_02,F4,frontal,alpha,0.5879467
Control,Baseline,Sub_02,F4,frontal,beta,0.47723255
Control,Baseline,Sub_02,F4,frontal,gamma,0.37109342
Control,Baseline,Sub_02,F4,frontal,broadband,0.3575254
Control,Baseline,Sub_02,F8,frontal,delta,0.42045587
Control,Baseline,Sub_02,F8,frontal,theta,0.48176786
Control,Baseline,Sub_02,F8,frontal,alpha,0.4993871
Control,Baseline,Sub_02,F8,frontal,beta,1.6521602
Control,Baseline,Sub_02,F8,frontal,gamma,0.7343677
Control,Baseline,Sub_02,F8,frontal,broadband,0.72165644
Control,Baseline,Sub_02,T3,central,delta,0.8188732
Control,Baseline,Sub_02,T3,central,theta,0.2982336
Control,Baseline,Sub_02,T3,central,alpha,0.64137495
Control,Baseline,Sub_02,T3,central,beta,0.65022916
Control,Baseline,Sub_02,T3,central,gamma,0.5470157
Control,Baseline,Sub_02,T3,central,broadband,0.83825535
Control,Baseline,Sub_02,C3,central,delta,0.88550305
Control,Baseline,Sub_02,C3,central,theta,0.63826376
Control,Baseline,Sub_02,C3,central,alpha,0.57518303
Control,Baseline,Sub_02,C3,central,beta,0.3401444
Control,Baseline,Sub_02,C3,central,gamma,0.34540746
Control,Baseline,Sub_02,C3,central,broadband,0.5968262
Control,Baseline,Sub_02,Cz,central,delta,0.47199577
Control,Baseline,Sub_02,Cz,central,theta,0.299967
Control,Baseline,Sub_02,Cz,central,alpha,0.47535118
Control,Baseline,Sub_02,Cz,central,beta,0.5398386
Control,Baseline,Sub_02,Cz,central,gamma,0.6164713
Control,Baseline,Sub_02,Cz,central,broadband,0.5063268
Control,Baseline,Sub_02,C4,central,delta,0.45672372
Control,Baseline,Sub_02,C4,central,theta,0.5197551
Control,Baseline,Sub_02,C4,central,alpha,0.49275723
Control,Baseline,Sub_02,C4,central,beta,0.3410951
Control,Baseline,Sub_02,C4,central,gamma,0.6677046
Control,Baseline,Sub_02,C4,central,broadband,0.8293048
Control,Baseline,Sub_02,T4,central,delta,0.6687196
Control,Baseline,Sub_02,T4,central,theta,0.2749508
Control,Baseline,Sub_02,T4,central,alpha,0.50894415
Control,Baseline,Sub_02,T4,central,beta,0.22330059
Control,Baseline,Sub_02,T4,central,gamma,0.22508782
Control,Baseline,Sub_02,T4,central,broadband,0.6055142
Control,Baseline,Sub_02,T5,parietal,delta,0.52668995
Control,Baseline,Sub_02,T5,parietal,theta,0.38445437
Control,Baseline,Sub_02,T5,parietal,alpha,0.22019532
Control,Baseline,Sub_02,T5,parietal,beta,0.2938712
Control,Baseline,Sub_02,T5,parietal,gamma,0.559241
Control,Baseline,Sub_02,T5,parietal,broadband,0.52556205
Control,Baseline,Sub_02,P3,parietal,delta,0.5909729
Control,Baseline,Sub_02,P3,parietal,theta,0.7403569
Control,Baseline,Sub_02,P3,parietal,alpha,0.44608694
Control,Baseline,Sub_02,P3,parietal,beta,0.573905
Control,Baseline,Sub_02,P3,parietal,gamma,0.49720636
Control,Baseline,Sub_02,P3,parietal,broadband,0.44538552
Control,Baseline,Sub_02,Pz,parietal,delta,0.48158243
Control,Baseline,Sub_02,Pz,parietal,theta,0.65133613
Control,Baseline,Sub_02,Pz,parietal,alpha,0.3516535
Control,Baseline,Sub_02,Pz,parietal,beta,0.6891321
Control,Baseline,Sub_02,Pz,parietal,gamma,0.7179202
Control,Baseline,Sub_02,Pz,parietal,broadband,0.5232295
Control,Baseline,Sub_02,P4,parietal,delta,0.5176289
Control,Baseline,Sub_02,P4,parietal,theta,0.2609212
Control,Baseline,Sub_02,P4,parietal,alpha,0.87153244
Control,Baseline,Sub_02,P4,parietal,beta,0.62165254
Control,Baseline,Sub_02,P4,parietal,gamma,0.54600555
Control,Baseline,Sub_02,P4,parietal,broadband,0.52839077
Control,Baseline,Sub_02,T6,parietal,delta,0.5869346
Control,Baseline,Sub_02,T6,parietal,theta,0.3951133
Control,Baseline,Sub_02,T6,parietal,alpha,0.55664784
Control,Baseline,Sub_02,T6,parietal,beta,0.40005463
Control,Baseline,Sub_02,T6,parietal,gamma,0.5859353
Control,Baseline,Sub_02,T6,parietal,broadband,0.3777795
Control,Baseline,Sub_02,O1,occipital,delta,0.63235414
Control,Baseline,Sub_02,O1,occipital,theta,0.43828684
Control,Baseline,Sub_02,O1,occipital,alpha,0.6838381
Control,Baseline,Sub_02,O1,occipital,beta,0.9485333
Control,Baseline,Sub_02,O1,occipital,gamma,0.62924045
Control,Baseline,Sub_02,O1,occipital,broadband,0.55464447
Control,Baseline,Sub_02,Oz,occipital,delta,0.49883497
Control,Baseline,Sub_02,Oz,occipital,theta,0.31994367
Control,Baseline,Sub_02,Oz,occipital,alpha,0.8324475
Control,Baseline,Sub_02,Oz,occipital,beta,0.7345344
Control,Baseline,Sub_02,Oz,occipital,gamma,0.5337762
Control,Baseline,Sub_02,Oz,occipital,broadband,0.75679505
Control,Baseline,Sub_02,O2,occipital,delta,0.48239774
Control,Baseline,Sub_02,O2,occipital,theta,0.2307944
Control,Baseline,Sub_02,O2,occipital,alpha,0.7857708
Control,Baseline,Sub_02,O2,occipital,beta,0.377117
Control,Baseline,Sub_02,O2,occipital,gamma,0.46432686
Control,Baseline,Sub_02,O2,occipital,broadband,0.63077796
Control,Baseline,Sub_02,AF3,extra,delta,0.99378204
Control,Baseline,Sub_02,AF3,extra,theta,0.51268244
Control,Baseline,Sub_02,AF3,extra,alpha,0.51476026
Control,Baseline,Sub_02,AF3,extra,beta,0.4096647
Control,Baseline,Sub_02,AF3,extra,gamma,0.3660503
Control,Baseline,Sub_02,AF3,extra,broadband,0.5240672
Control,Baseline,Sub_02,AF4,extra,delta,0.61530304
Control,Baseline,Sub_02,AF4,extra,theta,0.4157335
Control,Baseline,Sub_02,AF4,extra,alpha,0.3883179
Control,Baseline,Sub_02,AF4,extra,beta,0.4933534
Control,Baseline,Sub_02,AF4,extra,gamma,0.5226114
Control,Baseline,Sub_02,AF4,extra,broadband,0.442067
Control,Baseline,Sub_02,FC5,extra,delta,0.433615
Control,Baseline,Sub_02,FC5,extra,theta,0.46296746
Control,Baseline,Sub_02,FC5,extra,alpha,0.36066315
Control,Baseline,Sub_02,FC5,extra,beta,0.5089365
Control,Baseline,Sub_02,FC5,extra,gamma,0.4449848
Control,Baseline,Sub_02,FC5,extra,broadband,0.7614352
Control,Baseline,Sub_02,FC1,extra,delta,0.40841687
Control,Baseline,Sub_02,FC1,extra,theta,0.57178444
Control,Baseline,Sub_02,FC1,extra,alpha,0.54444265
Control,Baseline,Sub_02,FC1,extra,beta,0.36890012
Control,Baseline,Sub_02,FC1,extra,gamma,0.3297824
Control,Baseline,Sub_02,FC1,extra,broadband,0.47125614
Control,Baseline,Sub_02,FC2,extra,delta,0.61258274
Control,Baseline,Sub_02,FC2,extra,theta,0.41386536
Control,Baseline,Sub_02,FC2,extra,alpha,0.4350614
Control,Baseline,Sub_02,FC2,extra,beta,0.06770056
Control,Baseline,Sub_02,FC2,extra,gamma,0.4813477
Control,Baseline,Sub_02,FC2,extra,broadband,0.5344483
Control,Baseline,Sub_02,FC6,extra,delta,0.5557409
Control,Baseline,Sub_02,FC6,extra,theta,0.5522016
Control,Baseline,Sub_02,FC6,extra,alpha,0.46991366
Control,Baseline,Sub_02,FC6,extra,beta,0.44626853
Control,Baseline,Sub_02,FC6,extra,gamma,0.60824513
Control,Baseline,Sub_02,FC6,extra,broadband,0.48850858
Control,Baseline,Sub_02,CP5,extra,delta,0.16468813
Control,Baseline,Sub_02,CP5,extra,theta,0.6684637
Control,Baseline,Sub_02,CP5,extra,alpha,0.32325593
Control,Baseline,Sub_02,CP5,extra,beta,0.7019968
Control,Baseline,Sub_02,CP5,extra,gamma,0.74574
Control,Baseline,Sub_02,CP5,extra,broadband,0.5979782
Control,Baseline,Sub_02,CP1,extra,delta,0.61661536
Control,Baseline,Sub_02,CP1,extra,theta,0.75240105
Control,Baseline,Sub_02,CP1,extra,alpha,0.32947248
Control,Baseline,Sub_02,CP1,extra,beta,0.52084273
Control,Baseline,Sub_02,CP1,extra,gamma,0.57527924
Control,Baseline,Sub_02,CP1,extra,broadband,
Control,Baseline,Sub_02,CP2,extra,delta,0.79178774
Control,Baseline,Sub_02,CP2,extra,theta,0.43363944
Control,Baseline,Sub_02,CP2,extra,alpha,0.41253576
Control,Baseline,Sub_02,CP2,extra,beta,0.59240055
Control,Baseline,Sub_02,CP2,extra,gamma,0.6831592
Control,Baseline,Sub_02,CP2,extra,broadband,0.41716513
Control,Baseline,Sub_02,CP6,extra,delta,0.4186364
Control,Baseline,Sub_02,CP6,extra,theta,0.56430924
Control,Baseline,Sub_02,CP6,extra,alpha,0.28432152
Control,Baseline,Sub_02,CP6,extra,beta,0.38768113
Control,Baseline,Sub_02,CP6,extra,gamma,0.35835147
Control,Baseline,Sub_02,CP6,extra,broadband,0.45055
Control,Baseline,Sub_02,PO3,extra,delta,0.4749159
Control,Baseline,Sub_02,PO3,extra,theta,0.78432614
Control,Baseline,Sub_02,PO3,extra,alpha,0.6499822
Control,Baseline,Sub_02,PO3,extra,beta,0.48624068
Control,Baseline,Sub_02,PO3,extra,gamma,0.48422053
Control,Baseline,Sub_02,PO3,extra,broadband,0.65621364
Control,Baseline,Sub_02,PO4,extra,delta,0.56222135
Control,Baseline,Sub_02,PO4,extra,theta,0.6180554
Control,Baseline,Sub_02,PO4,extra,alpha,
Control,Baseline,Sub_02,PO4,extra,beta,0.35818818
Control,Baseline,Sub_02,PO4,extra,gamma,0.14515135
Control,Baseline,Sub_02,PO4,extra,broadband,0.4891038
Control,Baseline,Sub_03,Fp1,prefrontal,delta,0.38513714
Control,Baseline,Sub_03,Fp1,prefrontal,theta,0.45270216
Control,Baseline,Sub_03,Fp1,prefrontal,alpha,0.312962
Control,Baseline,Sub_03,Fp1,prefrontal,beta,0.3759865
Control,Baseline,Sub_03,Fp1,prefrontal,gamma,0.4155699
Control,Baseline,Sub_03,Fp1,prefrontal,broadband,0.47342637
Control,Baseline,Sub_03,Fp2,prefrontal,delta,0.58917814
Control,Baseline,Sub_03,Fp2,prefrontal,theta,0.05137504
Control,Baseline,Sub_03,Fp2,prefrontal,alpha,0.1488261
Control,Baseline,Sub_03,Fp2,prefrontal,beta,0.62779105
Control,Baseline,Sub_03,Fp2,prefrontal,gamma,0.51639926
Control,Baseline,Sub_03,Fp2,prefrontal,broadband,0.50455767
Control,Baseline,Sub_03,F7,frontal,delta,0.4284172
Control,Baseline,Sub_03,F7,frontal,theta,0.33336985
Control,Baseline,Sub_03,F7,frontal,alpha,0.39176613
Control,Baseline,Sub_03,F7,frontal,beta,0.25614545
Control,Baseline,Sub_03,F7,frontal,gamma,0.19737081
Control,Baseline,Sub_03,F7,frontal,broadband,0.21118394
Control,Baseline,Sub_03,F3,frontal,delta,0.5101787
Control,Baseline,Sub_03,F3,frontal,theta,0.4656102
Control,Baseline,Sub_03,F3,frontal,alpha,0.6342584
Control,Baseline,Sub_03,F3,frontal,beta,0.45052555
Control,Baseline,Sub_03,F3,frontal,gamma,0.462288
Control,Baseline,Sub_03,F3,frontal,broadband,0.6398356
Control,Baseline,Sub_03,Fz,frontal,delta,0.3093024
Control,Baseline,Sub_03,Fz,frontal,theta,0.20164359
Control,Baseline,Sub_03,Fz,frontal,alpha,0.2945215
Control,Baseline,Sub_03,Fz,frontal,beta,0.3961246
Control,Baseline,Sub_03,Fz,frontal,gamma,0.67082953
Control,Baseline,Sub_03,Fz,frontal,broadband,0.33541998
Control,Baseline,Sub_03,F4,frontal,delta,0.658158
Control,Baseline,Sub_03,F4,frontal,theta,0.31586424
Control,Baseline,Sub_03,F4,frontal,alpha,0.44459128
Control,Baseline,Sub_03,F4,frontal,beta,0.4754028
Control,Baseline,Sub_03,F4,frontal,gamma,0.45901677
Control,Baseline,Sub_03,F4,frontal,broadband,0.4953884
Control,Baseline,Sub_03,F8,frontal,delta,0.3621994
Control,Baseline,Sub_03,F8,frontal,theta,0.6221248
Control,Baseline,Sub_03,F8,frontal,alpha,0.540617
Control,Baseline,Sub_03,F8,frontal,beta,0.28396308
Control,Baseline,Sub_03,F8,frontal,gamma,0.5141123
Control,Baseline,Sub_03,F8,frontal,broadband,0.24880625
Control,Baseline,Sub_03,T3,central,delta,0.42218834
Control,Baseline,Sub_03,T3,central,theta,0.2072483
Control,Baseline,Sub_03,T3,central,alpha,0.46007663
Control,Baseline,Sub_03,T3,central,beta,0.8332481
Control,Baseline,Sub_03,T3,central,gamma,0.5781368
Control,Baseline,Sub_03,T3,central,broadband,0.51817185
Control,Baseline,Sub_03,C3,central,delta,0.24230833
Control,Baseline,Sub_03,C3,central,theta,0.44953984
Control,Baseline,Sub_03,C3,central,alpha,0.61055326
Control,Baseline,Sub_03,C3,central,beta,0.3587079
Control,Baseline,Sub_03,C3,central,gamma,0.41451558
Control,Baseline,Sub_03,C3,central,broadband,0.103141636
Control,Baseline,Sub_03,Cz,central,delta,0.2671203
Control,Baseline,Sub_03,Cz,central,theta,0.1373366
Control,Baseline,Sub_03,Cz,central,alpha,0.67720485
Control,Baseline,Sub_03,Cz,central,beta,0.4427286
Control,Baseline,Sub_03,Cz,central,gamma,0.4960554
Control,Baseline,Sub_03,Cz,central,broadband,0.3699067
Control,Baseline,Sub_03,C4,central,delta,0.15227684
Control,Baseline,Sub_03,C4,central,theta,0.39720264
Control,Baseline,Sub_03,C4,central,alpha,0.29434308
Control,Baseline,Sub_03,C4,central,beta,0.22845156
Control,Baseline,Sub_03,C4,central,gamma,0.36617035
Control,Baseline,Sub_03,C4,central,broadband,0.37065765
Control,Baseline,Sub_03,T4,central,delta,0.35138813
Control,Baseline,Sub_03,T4,central,theta,0.30704552
Control,Baseline,Sub_03,T4,central,alpha,0.20927009
Control,Baseline,Sub_03,T4,central,beta,0.38685074
Control,Baseline,Sub_03,T4,central,gamma,0.55774707
Control,Baseline,Sub_03,T4,central,broadband,0.13226035
Control,Baseline,Sub_03,T5,parietal,delta,0.2897226
Control,Baseline,Sub_03,T5,parietal,theta,
